ID,Text,Cit_ID,Regulation,Regulator
185,"Returned check warranties. Each paying bank or returning bank that transfers a returned check and receives a settlement or other consideration for it warrants to the transferee returning bank, to any subsequent returning bank, to the depositary bank, and to the owner of the check, that— The paying bank, or in the case of a check payable by a bank and payable through another bank, the bank by which the check is payable, returned the check within its deadline under the UCC or § 229.31(g) of this part;",CFR:12:229:229.34:d:1:i,Regulation CC,FRB
186,"Returned check warranties. Each paying bank or returning bank that transfers a returned check and receives a settlement or other consideration for it warrants to the transferee returning bank, to any subsequent returning bank, to the depositary bank, and to the owner of the check, that— It is authorized to return the check;",CFR:12:229:229.34:d:1:ii,Regulation CC,FRB
187,"Returned check warranties. Each paying bank or returning bank that transfers a returned check and receives a settlement or other consideration for it warrants to the transferee returning bank, to any subsequent returning bank, to the depositary bank, and to the owner of the check, that— The check has not been materially altered; and",CFR:12:229:229.34:d:1:iii,Regulation CC,FRB
188,"Returned check warranties. Each paying bank or returning bank that transfers a returned check and receives a settlement or other consideration for it warrants to the transferee returning bank, to any subsequent returning bank, to the depositary bank, and to the owner of the check, that— In the case of a notice in lieu of return, the check has not and will not be returned.",CFR:12:229:229.34:d:1:iv,Regulation CC,FRB
189,"Returned check warranties. These warranties are not made with respect to checks drawn on the Treasury of the United States, U.S. Postal Service money orders, or checks drawn on a state or a unit of general local government that are not payable through or at a bank.",CFR:12:229:229.34:d:2,Regulation CC,FRB
190,"Notice of nonpayment warranties. Each paying bank that gives a notice of nonpayment warrants to the transferee bank, to any subsequent transferee bank, to the depositary bank, and to the owner of the check that— The paying bank, or in the case of a check payable by a bank and payable through another bank, the bank by which the check is payable, returned or will return the check within its deadline under the UCC or § 229.31(g) of this part;",CFR:12:229:229.34:e:1:i,Regulation CC,FRB
191,"Notice of nonpayment warranties. Each paying bank that gives a notice of nonpayment warrants to the transferee bank, to any subsequent transferee bank, to the depositary bank, and to the owner of the check that— It is authorized to send the notice; and",CFR:12:229:229.34:e:1:ii,Regulation CC,FRB
192,"Notice of nonpayment warranties. Each paying bank that gives a notice of nonpayment warrants to the transferee bank, to any subsequent transferee bank, to the depositary bank, and to the owner of the check that— The check has not been materially altered.",CFR:12:229:229.34:e:1:iii,Regulation CC,FRB
193,"Notice of nonpayment warranties. These warranties are not made with respect to checks drawn on the Treasury of the United States, U.S. Postal Service money orders, or check drawn on a state or a unit of general local government that are not payable through or at a bank.",CFR:12:229:229.34:e:2,Regulation CC,FRB
194,Remote deposit capture indemnity. The indemnity described in paragraph (f)(2) of this section is provided by a depositary bank that— Is a truncating bank under § 229.2(eee)(2) because it accepts deposit of an electronic image or other electronic information related to an original check;,CFR:12:229:229.34:f:1:i,Regulation CC,FRB
195,Remote deposit capture indemnity. The indemnity described in paragraph (f)(2) of this section is provided by a depositary bank that— Does not receive the original check;,CFR:12:229:229.34:f:1:ii,Regulation CC,FRB
196,Remote deposit capture indemnity. The indemnity described in paragraph (f)(2) of this section is provided by a depositary bank that— Receives settlement or other consideration for an electronic check or substitute check related to the original check; and,CFR:12:229:229.34:f:1:iii,Regulation CC,FRB
197,Remote deposit capture indemnity. The indemnity described in paragraph (f)(2) of this section is provided by a depositary bank that— Does not receive a return of the check unpaid.,CFR:12:229:229.34:f:1:iv,Regulation CC,FRB
198,"Remote deposit capture indemnity. A bank described in paragraph (f)(1) of this section shall indemnify, as set forth in § 229.34(i), a depositary bank that accepts the original check for deposit for losses incurred by that depositary bank if the loss is due to the check having already been paid.",CFR:12:229:229.34:f:2,Regulation CC,FRB
199,Remote deposit capture indemnity. A depositary bank may not make an indemnity claim under paragraph (f)(2) of this section if the original check it accepted for deposit bore a restrictive indorsement inconsistent with the means of deposit.,CFR:12:229:229.34:f:3,Regulation CC,FRB
200,"Indemnities with respect to electronically-created items. Each bank that transfers or presents an electronically-created item and receives a settlement or other consideration for it shall indemnify, as set forth in § 229.34(i), each transferee bank, any subsequent collecting bank, the paying bank, and any subsequent returning bank against losses that result from the fact that— The electronic image or electronic information is not derived from a paper check;",CFR:12:229:229.34:g:1,Regulation CC,FRB
201,"Indemnities with respect to electronically-created items. Each bank that transfers or presents an electronically-created item and receives a settlement or other consideration for it shall indemnify, as set forth in § 229.34(i), each transferee bank, any subsequent collecting bank, the paying bank, and any subsequent returning bank against losses that result from the fact that— The person on whose account the electronically-created item is drawn did not authorize the issuance of the item in the amount stated on the item or to the payee stated on the item (for purposes of this paragraph (g)(2), “account” includes an account as defined in section 229.2(a) as well as a credit or other arrangement that allows a person to draw checks that are payable by, through, or at a bank); or",CFR:12:229:229.34:g:2,Regulation CC,FRB
202,"Indemnities with respect to electronically-created items. Each bank that transfers or presents an electronically-created item and receives a settlement or other consideration for it shall indemnify, as set forth in § 229.34(i), each transferee bank, any subsequent collecting bank, the paying bank, and any subsequent returning bank against losses that result from the fact that— A person receives a transfer, presentment, or return of, or otherwise is charged for an electronically-created item such that the person is asked to make payment based on an item or check it has already paid.",CFR:12:229:229.34:g:3,Regulation CC,FRB
203,"Damages. Damages for breach of the warranties in this section shall not exceed the consideration received by the bank that presents or transfers a check or returned check, plus interest compensation and expenses related to the check or returned check, if any.",CFR:12:229:229.34:h,Regulation CC,FRB
204,"Indemnity amounts. The amount of the indemnity in paragraphs (f)(2) and (g) of this section shall not exceed the sum of— The amount of the loss of the indemnified bank, up to the amount of the settlement or other consideration received by the indemnifying bank; and",CFR:12:229:229.34:i:1:i,Regulation CC,FRB
205,Indemnity amounts. The amount of the indemnity in paragraphs (f)(2) and (g) of this section shall not exceed the sum of— Interest and expenses of the indemnified bank (including costs and reasonable attorney's fees and other expenses of representation).,CFR:12:229:229.34:i:1:ii,Regulation CC,FRB
206,"Indemnity amounts.  If a loss described in paragraph (f)(2) or (g) of this section results in whole or in part from the indemnified bank's negligence or failure to act in good faith, then the indemnity amount described in paragraph (i)(1) of this section shall be reduced in proportion to the amount of negligence or bad faith attributable to the indemnified bank.",CFR:12:229:229.34:i:2:i,Regulation CC,FRB
207,Indemnity amounts.  Nothing in this paragraph (i)(2) affects the rights of a person under the UCC or other applicable provision of state or federal law.,CFR:12:229:229.34:i:2:ii,Regulation CC,FRB
208,"Tender of defense. If a bank is sued for breach of a warranty or for indemnity under this section, it may give a prior bank in the collection or return chain written notice of the litigation, and the bank notified may then give similar notice to any other prior bank. If the notice states that the bank notified may come in and defend and that failure to do so will bind the bank notified in an action later brought by the bank giving the notice as to any determination of fact common to the two litigations, the bank notified is so bound unless after seasonable receipt of the notice the bank notified does come in and defend.",CFR:12:229:229.34:j,Regulation CC,FRB
209,"Notice of claim. Unless a claimant gives notice of a claim for breach of warranty or for indemnity under this section to the bank that made the warranty or indemnification within 30 days after the claimant has reason to know of the breach or facts and circumstances giving rise to the indemnity and the identity of the warranting or indemnifying bank, the warranting or indemnifying bank is discharged to the extent of any loss caused by the delay in giving notice of the claim.",CFR:12:229:229.34:k,Regulation CC,FRB
210,"Liability of bank handling check. A bank that handles a check for forward collection or return is liable to any bank that subsequently handles the check to the extent that the subsequent bank does not receive payment for the check because of suspension of payments by another bank or otherwise. This paragraph applies whether or not a bank has placed its indorsement on the check. This liability is not affected by the failure of any bank to exercise ordinary care, but any bank failing to do so remains liable. A bank seeking recovery against a prior bank shall send notice to that prior bank reasonably promptly after it learns the facts entitling it to recover. A bank may recover from the bank with which it settled for the check by revoking the settlement, charging back any credit given to an account, or obtaining a refund. A bank may have the rights of a holder with respect to each check it handles.",CFR:12:229:229.35:b,Regulation CC,FRB
211,"Indorsement by a bank. After a check has been indorsed by a bank, only a bank may acquire the rights of a holder— Until the check has been returned to the person initiating collection; or",CFR:12:229:229.35:c:1,Regulation CC,FRB
212,"Indorsement by a bank. After a check has been indorsed by a bank, only a bank may acquire the rights of a holder— Until the check has been specially indorsed by a bank to a person who is not a bank.",CFR:12:229:229.35:c:2,Regulation CC,FRB
213,"Indorsement for depositary bank. A depositary bank may arrange with another bank to apply the other bank's indorsement as the depositary bank indorsement, provided that any indorsement of the depositary bank on the check avoids the area reserved for the depositary bank indorsement as specified in the indorsement standard applicable to the check under paragraph (a) of this section. The other bank indorsing as depositary bank is considered the depositary bank for purposes of subpart C of this part.",CFR:12:229:229.35:d,Regulation CC,FRB
214,Receipt of paper checks. A paper check is considered received by the paying bank when it is received— At a location to which delivery is requested by the paying bank;,CFR:12:229:229.36:b:1:i,Regulation CC,FRB
215,"Receipt of paper checks. A paper check is considered received by the paying bank when it is received— At an address of the bank associated with the routing number on the check, whether contained in the MICR line or in fractional form;",CFR:12:229:229.36:b:1:ii,Regulation CC,FRB
216,"Receipt of paper checks. A paper check is considered received by the paying bank when it is received— At a branch, head office, or other location consistent with the name and address of the bank on the check if the bank is identified on the check by name and address; or",CFR:12:229:229.36:b:1:iii,Regulation CC,FRB
217,"Receipt of paper checks. A paper check is considered received by the paying bank when it is received— At any branch or head office, if the bank is identified on the check by name without address.",CFR:12:229:229.36:b:1:iv,Regulation CC,FRB
218,Receipt of paper checks. A bank may require that checks presented to it as a paying bank be separated from returned checks.,CFR:12:229:229.36:b:2,Regulation CC,FRB
219,"Liability of bank during forward collection. Settlements between banks for the forward collection of a check are final when made; however, a collecting bank handling a check for forward collection may be liable to a prior collecting bank, including the depositary bank, and the depositary bank's customer.",CFR:12:229:229.36:c,Regulation CC,FRB
220,"Same-day settlement. A paper check is considered presented, and a paying bank must settle for or return the check pursuant to paragraph (d)(2) of this section, if a presenting bank delivers the check in accordance with reasonable delivery requirements established by the paying bank and demands payment under this paragraph (d)— At a location designated by the paying bank for receipt of paper checks under this paragraph (d) at which the paying bank would be considered to have received the paper check under paragraph (b) of this section or, if no location is designated, at any location described in paragraph (b) of this section; and",CFR:12:229:229.36:d:1:i,Regulation CC,FRB
221,"Same-day settlement. A paper check is considered presented, and a paying bank must settle for or return the check pursuant to paragraph (d)(2) of this section, if a presenting bank delivers the check in accordance with reasonable delivery requirements established by the paying bank and demands payment under this paragraph (d)— By 8 a.m. on a business day (local time of the location described in paragraph (d)(1)(i) of this section).",CFR:12:229:229.36:d:1:ii,Regulation CC,FRB
222,Same-day settlement. A paying bank may require that paper checks presented for settlement pursuant to paragraph (d)(1) of this section be separated from other forward-collection checks or returned checks.,CFR:12:229:229.36:d:2,Regulation CC,FRB
223,"Same-day settlement. If presentment of a paper check meets the requirements of paragraph (d)(1) of this section, the paying bank is accountable to the presenting bank for the amount of the check unless, by the close of Fedwire on the business day it receives the check, it either— Settles with the presenting bank for the amount of the check by credit to an account at a Federal Reserve Bank designated by the presenting bank; or",CFR:12:229:229.36:d:3:i,Regulation CC,FRB
224,"Same-day settlement. If presentment of a paper check meets the requirements of paragraph (d)(1) of this section, the paying bank is accountable to the presenting bank for the amount of the check unless, by the close of Fedwire on the business day it receives the check, it either— Returns the check.",CFR:12:229:229.36:d:3:ii,Regulation CC,FRB
225,"Same-day settlement. Notwithstanding paragraph (d)(3) of this section, if a paying bank closes on a business day and receives presentment of a paper check on that day in accordance with paragraph (d)(1) of this section— The paying bank is accountable to the presenting bank for the amount of the check unless, by the close of Fedwire on its next banking day, it either— Settles with the presenting bank for the amount of the check by credit to an account at a Federal Reserve Bank designated by the presenting bank; or",CFR:12:229:229.36:d:4:i:A,Regulation CC,FRB
226,"Same-day settlement. Notwithstanding paragraph (d)(3) of this section, if a paying bank closes on a business day and receives presentment of a paper check on that day in accordance with paragraph (d)(1) of this section— The paying bank is accountable to the presenting bank for the amount of the check unless, by the close of Fedwire on its next banking day, it either— Returns the check.",CFR:12:229:229.36:d:4:i:B,Regulation CC,FRB
227,"Same-day settlement. Notwithstanding paragraph (d)(3) of this section, if a paying bank closes on a business day and receives presentment of a paper check on that day in accordance with paragraph (d)(1) of this section— If the closing is voluntary, unless the paying bank settles for or returns the check in accordance with paragraph (d)(3) of this section, it shall pay interest compensation to the presenting bank for each day after the business day on which the check was presented until the paying bank settles for the check, including the day of settlement.",CFR:12:229:229.36:d:4:ii,Regulation CC,FRB
228,"Applicable law. A substitute check that is the legal equivalent of an original check under paragraph (a) of this section shall be subject to any provision, including any provision relating to the protection of customers, of this part, the U.C.C., and any other applicable federal or state law as if such substitute check were the original check, to the extent such provision of law is not inconsistent with the Check 21 Act or this subpart.",CFR:12:229:229.51:c,Regulation CC,FRB
229,"Warranty recipients. A bank makes the warranties described in paragraph (a) of this section to the person to which the bank transfers, presents, or returns the substitute check or a paper or electronic representation of such substitute check and to any subsequent recipient, which could include a collecting or returning bank, the depositary bank, the drawer, the drawee, the payee, the depositor, and any indorser. These parties receive the warranties regardless of whether they received the substitute check or a paper or electronic representation of a substitute check.",CFR:12:229:229.52:b,Regulation CC,FRB
230,"Indemnity amount In general. Unless otherwise indicated by paragraph (b)(2) or (b)(3) of this section, the amount of the indemnity under paragraph (a) of this section is as follows: If the loss resulted from a breach of a substitute check warranty provided under § 229.52, the amount of the indemnity shall be the amount of any loss (including interest, costs, reasonable attorney's fees, and other expenses of representation) proximately caused by the warranty breach.",CFR:12:229:229.53:b:1:i,Regulation CC,FRB
231,"Indemnity amount In general. Unless otherwise indicated by paragraph (b)(2) or (b)(3) of this section, the amount of the indemnity under paragraph (a) of this section is as follows: If the loss did not result from a breach of a substitute check warranty provided under § 229.52, the amount of the indemnity shall be the sum of— The amount of the loss, up to the amount of the substitute check; and",CFR:12:229:229.53:b:1:ii:A,Regulation CC,FRB
232,"Indemnity amount In general. Unless otherwise indicated by paragraph (b)(2) or (b)(3) of this section, the amount of the indemnity under paragraph (a) of this section is as follows: If the loss did not result from a breach of a substitute check warranty provided under § 229.52, the amount of the indemnity shall be the sum of— Interest and expenses (including costs and reasonable attorney's fees and other expenses of representation) related to the substitute check.",CFR:12:229:229.53:b:1:ii:B,Regulation CC,FRB
233,"Indemnity amount Comparative negligence. If a loss described in paragraph (a) of this section results in whole or in part from the indemnified person's negligence or failure to act in good faith, then the indemnity amount described in paragraph (b)(1) of this section shall be reduced in proportion to the amount of negligence or bad faith attributable to the indemnified person.",CFR:12:229:229.53:b:2:i,Regulation CC,FRB
234,Indemnity amount Comparative negligence. Nothing in this paragraph (b)(2) reduces the rights of a consumer or any other person under the U.C.C. or other applicable provision of state or federal law.,CFR:12:229:229.53:b:2:ii,Regulation CC,FRB
235,"Indemnity amount Effect of producing the original check or a sufficient copy — If an indemnifying bank produces the original check or a sufficient copy, the indemnifying bank shall— Be liable under this section only for losses that are incurred up to the time that the bank provides that original check or sufficient copy to the indemnified person; and",CFR:12:229:229.53:b:3:i:A,Regulation CC,FRB
236,"Indemnity amount Effect of producing the original check or a sufficient copy — If an indemnifying bank produces the original check or a sufficient copy, the indemnifying bank shall— Have a right to the return of any funds it has paid under this section in excess of those losses.",CFR:12:229:229.53:b:3:i:B,Regulation CC,FRB
237,Indemnity amount Effect of producing the original check or a sufficient copy — The production by the indemnifying bank of the original check or a sufficient copy under paragraph (b)(3)(i) of this section shall not absolve the indemnifying bank from any liability under any warranty that the bank has provided under § 229.52 or other applicable law.,CFR:12:229:229.53:b:3:ii,Regulation CC,FRB
238,Circumstances giving rise to a claim. A consumer may make a claim under this section for a recredit with respect to a substitute check if the consumer asserts in good faith that— The bank holding the consumer's account charged that account for a substitute check that was provided to the consumer (although the consumer need not be in possession of that substitute check at the time he or she submits a claim);,CFR:12:229:229.54:a:1,Regulation CC,FRB
239,Circumstances giving rise to a claim. A consumer may make a claim under this section for a recredit with respect to a substitute check if the consumer asserts in good faith that— The substitute check was not properly charged to the consumer account or the consumer has a warranty claim with respect to the substitute check;,CFR:12:229:229.54:a:2,Regulation CC,FRB
240,Circumstances giving rise to a claim. A consumer may make a claim under this section for a recredit with respect to a substitute check if the consumer asserts in good faith that— The consumer suffered a resulting loss; and,CFR:12:229:229.54:a:3,Regulation CC,FRB
241,Circumstances giving rise to a claim. A consumer may make a claim under this section for a recredit with respect to a substitute check if the consumer asserts in good faith that— Production of the original check or a sufficient copy is necessary to determine whether or not the substitute check in fact was improperly charged or whether the consumer's warranty claim is valid.,CFR:12:229:229.54:a:4,Regulation CC,FRB
242,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Timing of claim. The consumer shall submit his or her claim such that the bank receives the claim by the end of the 40th calendar day after the later of the calendar day on which the bank mailed or delivered, by a means agreed to by the consumer— The periodic account statement that contains information concerning the transaction giving rise to the claim; or",CFR:12:229:229.54:b:1:i:A,Regulation CC,FRB
243,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Timing of claim. The consumer shall submit his or her claim such that the bank receives the claim by the end of the 40th calendar day after the later of the calendar day on which the bank mailed or delivered, by a means agreed to by the consumer— The substitute check giving rise to the claim.",CFR:12:229:229.54:b:1:i:B,Regulation CC,FRB
244,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Timing of claim. If the consumer cannot submit his or her claim by the time specified in paragraph (b)(1)(i) of this section because of extenuating circumstances, the bank shall extend the 40-calendar-day period by an additional reasonable amount of time.",CFR:12:229:229.54:b:1:ii,Regulation CC,FRB
245,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Timing of claim. If a consumer makes a claim orally and the bank requires the claim to be in writing, the consumer's claim is timely if the oral claim was received within the time described in paragraphs (b)(1)(i)-(ii) of this section and the written claim was received within the time described in paragraph (b)(3)(ii) of this section.",CFR:12:229:229.54:b:1:iii,Regulation CC,FRB
246,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Content of claim. The consumer's claim shall include the following information: A description of the consumer's claim, including the reason why the consumer believes his or her account was improperly charged for the substitute check or the nature of his or her warranty claim with respect to such check;",CFR:12:229:229.54:b:2:i:A,Regulation CC,FRB
247,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Content of claim. The consumer's claim shall include the following information: A statement that the consumer suffered a loss and an estimate of the amount of that loss;",CFR:12:229:229.54:b:2:i:B,Regulation CC,FRB
248,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Content of claim. The consumer's claim shall include the following information: The reason why production of the original check or a sufficient copy is necessary to determine whether or not the charge to the consumer's account was proper or the consumer's warranty claim is valid; and",CFR:12:229:229.54:b:2:i:C,Regulation CC,FRB
249,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Content of claim. The consumer's claim shall include the following information: Sufficient information to allow the bank to identify the substitute check and investigate the claim.",CFR:12:229:229.54:b:2:i:D,Regulation CC,FRB
250,"Procedures for making claims. A consumer shall make his or her claim for a recredit under this section with the bank that holds the consumer's account in accordance with the timing, content, and form requirements of this section. Content of claim. If a consumer attempts to make a claim but fails to provide all the information in paragraph (b)(2)(i) of this section that is required to constitute a claim, the bank shall inform the consumer that the claim is not complete and identify the information that is missing.",CFR:12:229:229.54:b:2:ii,Regulation CC,FRB
251,"Other claims not affected. Providing a recredit in accordance with this section shall not absolve the bank from liability for a claim made under any other provision of law, such as a claim for wrongful dishonor of a check under the U.C.C., or from liability for additional damages, such as damages under § 229.53 or § 229.56 of this subpart or U.C.C. 4-402.",CFR:12:229:229.54:f,Regulation CC,FRB
252,"A bank may deliver any notice or other information that it is required to provide under this subpart by United States mail or by any other means through which the recipient has agreed to receive account information. If a bank is required to provide an original check or a sufficient copy, the bank instead may provide an electronic image of the original check or sufficient copy if the recipient has agreed to receive that information electronically.",CFR:12:229:229.58,Regulation CC,FRB
253,"Small lender exception Qualification. Except as may be required under applicable State law, paragraphs (a), (b), and (d) of this section do not apply to a national bank or Federal savings association: That has total assets of less than $1 billion as of December 31 of either of the two prior calendar years; and",CFR:12:22:22.5:c:1:i,FDPA,OCC
254,"Small lender exception Qualification. Except as may be required under applicable State law, paragraphs (a), (b), and (d) of this section do not apply to a national bank or Federal savings association: On or before July 6, 2012: Was not required under Federal or State law to deposit taxes, insurance premiums, fees, or any other charges in an escrow account for the entire term of any loan secured by residential improved real estate or a mobile home; and",CFR:12:22:22.5:c:1:ii:A,FDPA,OCC
255,"Small lender exception Qualification. Except as may be required under applicable State law, paragraphs (a), (b), and (d) of this section do not apply to a national bank or Federal savings association: On or before July 6, 2012: Did not have a policy of consistently and uniformly requiring the deposit of taxes, insurance premiums, fees, or any other charges in an escrow account for any loans secured by residential improved real estate or a mobile home.",CFR:12:22:22.5:c:1:ii:B,FDPA,OCC
256,"Small lender exception Change in status. If a national bank or Federal savings association previously qualified for the exception in paragraph (c)(1) of this section, but no longer qualifies for the exception because it had assets of $1 billion or more for two consecutive calendar year ends, the national bank or Federal savings association must escrow premiums and fees for flood insurance pursuant to paragraph (a) of this section for any designated loan made, increased, extended, or renewed on or after July 1 of the first calendar year of changed status.",CFR:12:22:22.5:c:2,FDPA,OCC
257,"Option to escrow In general. A national bank or Federal savings association, or a servicer acting on its behalf, shall offer and make available to the borrower the option to escrow all premiums and fees for any flood insurance required under § 22.3 for any loan secured by residential improved real estate or a mobile home that is outstanding on January 1, 2016, or July 1 of the first calendar year in which the national bank or Federal savings association has had a change in status pursuant to paragraph (c)(2) of this section, unless: The loan or the national bank or Federal savings association qualifies for an exception from the escrow requirement under paragraphs (a)(2) or (c) of this section, respectively;",CFR:12:22:22.5:d:1:i,FDPA,OCC
258,"Option to escrow In general. A national bank or Federal savings association, or a servicer acting on its behalf, shall offer and make available to the borrower the option to escrow all premiums and fees for any flood insurance required under § 22.3 for any loan secured by residential improved real estate or a mobile home that is outstanding on January 1, 2016, or July 1 of the first calendar year in which the national bank or Federal savings association has had a change in status pursuant to paragraph (c)(2) of this section, unless: The borrower is already escrowing all premiums and fees for flood insurance for the loan; or",CFR:12:22:22.5:d:1:ii,FDPA,OCC
259,"Option to escrow In general. A national bank or Federal savings association, or a servicer acting on its behalf, shall offer and make available to the borrower the option to escrow all premiums and fees for any flood insurance required under § 22.3 for any loan secured by residential improved real estate or a mobile home that is outstanding on January 1, 2016, or July 1 of the first calendar year in which the national bank or Federal savings association has had a change in status pursuant to paragraph (c)(2) of this section, unless: The national bank or Federal savings association is required to escrow flood insurance premiums and fees pursuant to paragraph (a) of this section.",CFR:12:22:22.5:d:1:iii,FDPA,OCC
260,"Option to escrow Notice. For any loan subject to paragraph (d) of this section, the national bank or Federal savings association, or a servicer acting on its behalf, shall mail or deliver to the borrower no later than June 30, 2016, or September 30 of the first calendar year in which the national bank or Federal savings association has had a change in status pursuant to paragraph (c)(2) of this section, a notice in writing, or if the borrower agrees, electronically, informing the borrower of the option to escrow all premiums and fees for any required flood insurance and the method(s) by which the borrower may request the escrow, using language similar to the model clause in appendix B.",CFR:12:22:22.5:d:2,FDPA,OCC
261,"Option to escrow Timing. The national bank or Federal savings association or the servicer acting on its behalf, must begin escrowing premiums and fees for flood insurance as soon as reasonably practicable after the bank or savings association, or servicer, receives the borrower's request to escrow.",CFR:12:22:22.5:d:3,FDPA,OCC
262,"For the purpose of this section, the term “consumer” includes the consumer’s spouse, parent (if the consumer is a minor), guardian, executor, or administrator.",USC:15:!41:1692c:d,FDCPA,USC
263,"If any consumer owes multiple debts and makes any single payment to any debt collector with respect to such debts, such debt collector may not apply such payment to any debt which is disputed by the consumer and, where applicable, shall apply such payment in accordance with the consumer’s directions.",USC:15:!41:1692h,FDCPA,USC
264,"Any debt collector who brings any legal action on a debt against any consumer shall— in the case of an action to enforce an interest in real property securing the consumer’s obligation, bring such action only in a judicial district or similar legal entity in which such real property is located; or",USC:15:!41:1692i:a:1,FDCPA,USC
265,"Any debt collector who brings any legal action on a debt against any consumer shall— in the case of an action not described in paragraph (1), bring such action only in the judicial district or similar legal entity— in which such consumer signed the contract sued upon; or",USC:15:!41:1692i:a:2:A,FDCPA,USC
266,"Any debt collector who brings any legal action on a debt against any consumer shall— in the case of an action not described in paragraph (1), bring such action only in the judicial district or similar legal entity— in which such consumer resides at the commencement of the action.",USC:15:!41:1692i:a:2:B,FDCPA,USC
267,"It is unlawful to design, compile, and furnish any form knowing that such form would be used to create the false belief in a consumer that a person other than the creditor of such consumer is participating in the collection of or in an attempt to collect a debt such consumer allegedly owes such creditor, when in fact such person is not so participating.",USC:15:!41:1692j:a,FDCPA,USC
268,Any person who violates this section shall be liable to the same extent and in the same manner as a debt collector is liable under section 1692k of this title for failure to comply with a provision of this subchapter.,USC:15:!41:1692j:b,FDCPA,USC
269,"Subject to paragraph (2), a private entity shall be excluded from the definition of a debt collector, pursuant to the exception provided in section 1692a(6) of this title , with respect to the operation by the entity of a program described in paragraph (2)(A) under a contract described in paragraph (2)(B).",USC:15:!41:1692p:a:1,FDCPA,USC
270,"Paragraph (1) shall apply if— a State or district attorney establishes, within the jurisdiction of such State or district attorney and with respect to alleged bad check violations that do not involve a check described in subsection (b), a pretrial diversion program for alleged bad check offenders who agree to participate voluntarily in such program to avoid criminal prosecution;",USC:15:!41:1692p:a:2:A,FDCPA,USC
271,"Paragraph (1) shall apply if— a private entity, that is subject to an administrative support services contract with a State or district attorney and operates under the direction, supervision, and control of such State or district attorney, operates the pretrial diversion program described in subparagraph (A); and",USC:15:!41:1692p:a:2:B,FDCPA,USC
272,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— complies with the penal laws of the State;",USC:15:!41:1692p:a:2:C:i,FDCPA,USC
273,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— conforms with the terms of the contract and directives of the State or district attorney;",USC:15:!41:1692p:a:2:C:ii,FDCPA,USC
274,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— does not exercise independent prosecutorial discretion;",USC:15:!41:1692p:a:2:C:iii,FDCPA,USC
275,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— contacts any alleged offender referred to in subparagraph (A) for purposes of participating in a program referred to in such paragraph— only as a result of any determination by the State or district attorney that probable cause of a bad check violation under State penal law exists, and that contact with the alleged offender for purposes of participation in the program is appropriate; and",USC:15:!41:1692p:a:2:C:iv:I,FDCPA,USC
276,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— contacts any alleged offender referred to in subparagraph (A) for purposes of participating in a program referred to in such paragraph— the alleged offender has failed to pay the bad check after demand for payment, pursuant to State law, is made for payment of the check amount;",USC:15:!41:1692p:a:2:C:iv:II,FDCPA,USC
277,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— includes as part of an initial written communication with an alleged offender a clear and conspicuous statement that— the alleged offender may dispute the validity of any alleged bad check violation;",USC:15:!41:1692p:a:2:C:v:I,FDCPA,USC
278,"Paragraph (1) shall apply if— in the course of performing duties delegated to it by a State or district attorney under the contract, the private entity referred to in subparagraph (B)— includes as part of an initial written communication with an alleged offender a clear and conspicuous statement that— where the alleged offender knows, or has reasonable cause to believe, that the alleged bad check violation is the result of theft or forgery of the check, identity theft, or other fraud that is not the result of the conduct of the alleged offender, the alleged offender may file a crime report with the appropriate law enforcement agency; and",USC:15:!41:1692p:a:2:C:v:II,FDCPA,USC
